,Country,Nationality,Address,Phone,Fax,Email,Website,Office Type,City,Office Hours,Details
Bangladeshi Embassy in India,Bangladesh,Bangladeshi,"9 Bangabandhu Sheikh Mujib Sarani, Kolkata 700017, India",(+91) 33 4012 7500,(+91) 33 4012 7555,mission.kolkata@mofa.gov.bd; bdhc@bdhckolkata.org,,Embassy,,,"Ms Abida Islam, Deputy High Commissioner"
Barbadian Consulate in India,Barbados,Barbadian,"21, Suvas, Main Avenue Santa Cruz (West), Mumbai 400 054 , India",(+91) 22 2646 1878,,-,,Consulate,,This Consulate no longer exist has been non existence since 18 years please kindly do the necessary changes....,Raghubir Singh Gohil - Consul
Belarusian Consulate in India,Belarus,Belarusian,"SB Towers, 3rd Floor 37, Shakespere Sarani , Kolkata 700 017 , India",(+91) 33-2289 5400 / 3,(+91) 33-2289 5401,info@mirondagroup.com,,Consulate,,,Mr Sitaram Sharma - Consul
Belarusian Embassy in India,Belarus,Belarusian,"163, Jor Bagh, New Delhi 110 003, India",(+91) 11-2469 4518,(+91) 11-2469 7029,india@belembassy.org,http://ndia.mfa.gov.by ,Embassy,,,Mr Vitaly Prima - Ambassador
Belgian Consulate in India,Belgium,Belgian,"Industry House, 15th Floor 10, Camac Street , Kolkata 700017, India","(+91) (33) 2282 7531 / 2, (+91) (33) 2479 1378",(+91) (33) 2282 7535,consubel_kolkata@jayshreetea.com,,Consulate,,10:00 - 13:00,Mrs Jayashree Mohta - Consul
Belgian Embassy in India,Belgium,Belgian,"50-N, Shantipath, Chanakyapuri, New Delhi 110021, India",(+91) (11) 4242 8000,(+91) (11) 4242 8002,newdelhi@diplobel.fed.be,http://www.diplomatie.be/newdelhi/,Embassy,,09:00 - 13:00 and 14:00 - 17:00,Mr Pierre Vaesen - Ambassador
Belizean Consulate in India,Belize,Belizean,"Ground Floor 98 Modi Tower, Nehru Place, New Delhi, 110 019, India",(91 11) 425-048-47,"(91 11) 264-271-25, (91 11) 264-490-30",  belize@modigroup.com; ukmodi@modigroup.com,,Consulate,,,Mr. Umesh Modi - Honorary Consul
Beninese Consulate in India,Benin,Beninese,"2nd Floor, Umiya Landmark, 10/7 - Lavelle Road, Bangalore 560 001, India",(+91) 80 2248 5520,,hcbeninbangalore@gmail.com,,Consulate,,,Mr Suresh Vaswani - Consul
Beninese Embassy in India,Benin,Beninese,"N-14, Pancheel Park Sector - 6, R.K. Puram Market , New Delhi - 110017, India",(+91) 11-4108-5516,,ambabenindelhi@yahoo.fr,,Embassy,,,Mr Andre Sanra - Ambassador
Brazilian Consulate in India,Brazil,Brazilian,"Unit 12B, 12th floor, Bakhtawar Building, RN Goenka Marg, Nariman Point, Mumbai 400 021 , India","(+91) 22-2283 4467, (+91) 22 2283 4469",(+91) 22-2283 4468,cg.mumbai@itamaraty.gov.br,http://mumbai.itamaraty.gov.br,Consulate,,09:00 - 13:00 and 15:00 - 19:00,Maria Teresa Mesquita Pessoa - Consul General
Brazilian Embassy in India,Brazil,Brazilian,"8, Aurangzeb Road, New Delhi 100 011, India",(+91) 11-2301 7301,(+91) 11-2379 3684,brasemb.newdelhi@itamaraty.gov.br,http://novadelhi.itamaraty.gov.br,Embassy,,09:00 - 13:00 and 15:00 - 19:00,Mr Carlos Sergio Sobral Duarte - Ambassador
"British Consulate in New Delhi, India",United Kingdom,British,"Shantipath, Chanakyapuri, New Delhi 110021 India",+91 (11) 2419 2100,+91 (11) 2419 2492,web.newdelhi@fco.gov.uk,http://www.gov.uk/government/world/india,Consulate,New Delhi,,
Bruneian Embassy in India,Brunei,Bruneian,"B-21, August Kranti Marg, Mayfair Gardens, Hauz Khas, New Delhi - 110016         , India",(91) 11 2652 2431 / 2652 2432 / 2652 2433,(91) 11 2652 2434 / (91) 11 2652 2435,newdelhi.india@mfa.gov.bn,,Embassy,,,His Excellency Dato Paduka Haji Sidek bin Ali  - High Commissioner
Burkinabe Consulate in India,Burkina Faso,Burkinabe,"No.2 Purshottam Bhavan, Little Gibbs Road , Mumbai 400 006 , India",(+91) (22) )2364 3093,(+91) (22) 2364 3093 / 5796,dr.lrbhojwan@gmail.com,,Consulate,,09:00 - 17:00,Dr. Laximikant Rewachand Bhojwani - Consul
Burkinabe Embassy in India,Burkina Faso,Burkinabe,"P 3/1 VASSANT VIHAR, NEW DELHI 110057, INDIA",(00 91 11) 26 14 0640/ 41/42,(00 91 11) 26 14 0630,Emburnd@bol.net.in; cmd@embassyburkinaindia.com,,Embassy,,09:30 - 13:30 and 15:30 - 18:30,HE Idriss Raoua OUEDRAOGO - Ambassador
Burundian Consulate in India,Burundi,Burundian,"Sutanuti Building 12, Ho-Chi-Minh Sarani, Kolkata 700 071 , India",(+91) 33 4014 2813,,bimanmit@yahoo.com,,Consulate,,,"Mr Arpan Mitra, Consul"
Burundian Embassy in India,Burundi,Burundian,"C - 1/24 Vasant Vihar , New Delhi - 110057, India",(+91) 11-4615 1947,(+91) 11-4950 3170,ambabudelhi@yahoo.fr,,Embassy,,09:00 - 17:00,Mr Rubuka Aloys - Ambassador
Cambodian Embassy in India,Cambodia,Cambodian,"W-112 Greater Kailash Part II, New Delhi-110048, India",(91-11) 2921 4436  / 2921 4435,(91-11) 2921 4438,camemb.ind@mfa.gov.kh,,Embassy,,,H.E.Mrs. Yous Makana - Ambassador
Cameroon Visa Application Centre in India,Cameroon,Cameroonian,"Stone House CVAC # 10-5-391/54/18, MLA Colony, Banjara Hills Rd # 12 Hyderabad 500034, India",+91) 9912981608 / 8125426513,,stonehouse@ambacam.asia,,Visa Office,Hyderabad,,There is no Cameroonian Embassy in India.
Canadian Consulate in India,Canada,Canadian,"Duncan House, 31 Netaji Subhas Road, Kolkata 700 001, india",91 (33) 2242-6820,91 (33) 2242-6828,ccklkta@rp-sg.in,,Consulate,,,
"Chadian Consulate in New Delhi, India",Chad,Chadian,"N-138, 2nd Floor Panchsheel Park, New Delhi, India, 110017",(+91) 11-4563 5162,(+91) 11-4563 5163,consulofchad@airtelmail.in,,Consulate,New Delhi,,
"Chilean Embassy in New Delhi, India",Chile,Chilean,"146 Jor Bagh, New Delhi 110003, India",+91 11 431 00400,+91 11 431 00431,embchile@airtelmail.in,http://www.chileindia.com/,Embassy,New Delhi,,
"Chinese Consulate in Kolkata, India",China,Chinese,"EC-72, Sector-1, Salt Lake City, Kolkata-700064, West Bengal, India",0091-33-40048169,0091-33-40048168,chinaconsul_kkt@mfa.gov.cn,http://kolkata.china-consulate.org/chn/ ,Consulate,Kolkata,,
"Chinese Consulate in Mumbai, India",China,Chinese,"8th/9th  Floor, Hoechst House, 193 Backbay Reclamation, Nariman Point, Mumbai 400021, India",0091-22-66324303/4/5/6,0091-22-66324302,chinacon@bom5.vsnl.net.in,http://mumbai.china-consulate.org ,Consulate,Mumbai,,
Chinese Embassy in India,China,Chinese,"50-D, Shantipath, Chanakyapuri",91-11-26112345,91-11-26885486,chinaemb_in@mfa.gov.cn,http://https://embassy.goabroad.com/embassy/edit/7419,Embassy,,,Ambassador: Zhang Yan
"Congolese (Republic) Embassy in New Delhi, India",Republic of the Congo,Congolese (Republic),"B-8/9 OR D6/13 C, Vasant Vihar, New Delhi - 110057, India","(+91) 11-4236 8800 / 11-4238 5500, (+91) 11 4905 0451","(+91) 11-4238 5500, (+91) 11 4905 1136",ambac02.inde@gmail.com,http://www.ambacongo-india.com/,Embassy,New Delhi,,"Mr Felix Ngoma, Ambassador"
"Congolese Embassy in New Delhi, India",DR Congo,Congolese,"B-39, Soami Nagar, New Delhi, 110017, India",98112 84319,,,,Embassy,New Delhi,,
"Cook Islands (New Zealand) Embassy in New Delhi, India",Cook Islands,Cook Islander,,,,,,Embassy,,,Cook Islands consulate services are represented by New Zealand.
"Costa Rican Consulate in New Delhi, India",Costa Rica,Costa Rican,"D- 388 Defence Colony, New Delhi 110024, India",00 (911) 1-233 1 0212/ 00 (911) 1-233 1 4934,00 (911) 1-23327231/00 (911) 1- 23357473,,,Consulate,New Delhi,9 a.m. a 1 p.m.,
"Croatian Consulate in Mumbai, India",Croatia,Croatian,"A-52, Darshan Apartments, Mt. Pleasant Road, Mumbai - 400 006, India","0091 22 2367 2800, 0091 22 2367 8451","0091 22 2367 8450, 0091 22 2369 9063",czaeel@vsnl.com,,Consulate,Mumbai,,
"Croatian Embassy in New Delhi, India",Croatia,Croatian,"A-15 West End, New Delhi 110021, India","0091 11 4166 3101, 0091 11 4166 3102, 0091 11 4166 3103","0091 11 2411 6873, 4166 3100",croemb.new-delhi@mvpei.hr,,Embassy,New Delhi,"Working hours: 
Monday-Friday 9:00-17:00","Covers: The Democratic Socialist Republic of Sri Lanka, the Federal Democratic Republic of Nepal and the People's Republic of Bangladesh, Republic of Maldives, Kingdom of Bhutan"
"Cypriot Consulate in Kolkata, India",Cyprus,Cypriot,"3C, Park Plaza (South Block) , 71 Park Street,, Kolkata - 700 016, India",+91-033) 2229 6000 (Office),(+91-033) 2229 1094,cyp.anil@jjauto.org,,Consulate,Kolkata,10:00 - 18:00,
"Cypriot Consulate in Mumbai, India",Cyprus,Cypriot,"Nehru Centre, 9th Floor, Discovery of India Bldg., Dr. Annie Besant Road, Worli, Mumbai 400 018 (Bombay) , India","+9122 24926655, 24926633 (Direct for Mr. Kapoor)","(009122) 24926464, 24900314","rana.kapoor@yesbankltd.com,Lonika.Kotekar@yesbank.in",,Consulate,Mumbai,"Office hours: 10:00 - 12:30, 14:00 - 16:00 (Mon. - Fri.), Hours for the public: 10:00 - 12:30",
"Cypriot Embassy in New Delhi, India",Cyprus,Cypriot,"67, Jor Bagh, New Delhi 110003,, India",0091 11 24697503/508,0091 11 24628828,delhihc@mfa.gov.cy,http://www.mfa.gov.cy/highcom_newdelhi,Embassy,New Delhi,,
Czech Embassy in India,Czech Republic,Czech,"50-M, Niti Marg, Chanakyapuri, 110 021, New Delhi, India","+91-33-22907406, +91-33-22837178",+91-33-22907411,newdelhi@embassy.mzv.cz,www.mzv.cz/newdelhi,Embassy,New Delhi,,
"Danish Consulate in Calcutta, India",Denmark,Danish,"McLeod House, 3 Netaji Subhas Road, 3rd floor, Calcutta 700001, India",(33) 2248 7476/7/8,(33) 2248 8184,,,Consulate,Calcutta,,
"Danish Consulate in Chennai, India",Denmark,Danish,"9 Cathedral Road, Chennai 600086, India","(44) 811 8140, 811 8141",(44) 811 2185,,,Consulate,Chennai,,
"Danish Consulate in Mumbai, India",Denmark,Danish,"L & T House, Ballard Estate, N.M. Marg, Mumbai 400 001. India",(22) 2261 4462; (22) 2268 5656,(22) 2270 3749,danishconsulate@lth.ltindia.com,,Consulate,Mumbai,,
"Danish Embassy in New Delhi, India",Denmark,Danish,"11 Aurangzeb Road, New Delhi 110011, India",+91 11 4209 0700,+91 11 379 2019/+91 11 2379 2891,delamb@um.dk,http://www.ambnewdelhi.um.dk/en,Embassy,New Delhi,"Monday to Thursday:  9:00 am to 4:30 pm
Friday: 9:00 am to 4:00 pm",
"Dominican (Republic) Embassy in New Delhi, India",Dominican Republic,Dominican,"B-1/20 Ground Floor, Vasant Vihar, New Delhi - 110057, India",(+91) 11-4342 5000,(+91) 11-4342 5050,embadom@dr-embassy-india.com,www.dr-embassy-india.com,Embassy,New Delhi,,"Mr Frank Hans Dannenberg Castellanos, Ambassador"
"Dominican Honorary Consulate in New Delhi, India",Dominica,Dominican,"283, Gulmohar Enclave New Delhi 110049 India",(+91) 11-2686 2595,(+91) 11-2686 2595,shukla_dominica@hotmail.com,,Consulate,New Delhi,09.00-13.00,"Mr Rama Kant Shukla, Honorary Consul"
"Dutch Consulate in Chennai, India",Netherlands,Dutch,"76, Venkata Krishan Road, Mandaveli, Chennai - 600 028, Tamil Nadu",+91 44 43535381,+91 44 24993272,honconsul.netherlands@gmail.com,,Consulate,Chennai,,
"Dutch Consulate in Kolkata, India",Netherlands,Dutch,"5, Rameshwar Shaw Road, Kolkata: 700014, India",+91 33 2289-7676/7020,+91 33 2289-7919,consulkolkata.netherlands@gmail.com,,Consulate,Kolkata,,
"Dutch Consulate in Mumbai, India",Netherlands,Dutch,"'Forbes Building', Charanjit Rai Marg, Mumbai 400001",+91 22 22194200,+91 22 22194230,bom@minbuza.nl,,Consulate,Mumbai,,
"Dutch Embassy in New Delhi, India",Netherlands,Dutch,"6/50 F, Shanti Path, Chanakyapuri, New Delhi 110021",+91-11-24197600,+91-11-24197710,nde@minbuza.nl,http://www.mfa.nl/nde-en/,Embassy,New Delhi,Monday - Thursday 08:30 - 17:00 and Friday 08:30 - 14:30,
"Ecuadorian Consulate in Kolkata, India",Ecuador,Ecuadorian,"Suvira House, 4B, Hungerford Street, Kolkata 700017",(+91) 33 2287 2287 / (+91) 33 2289 4000,(+91) 33 2289 4444,corporate@warrentea.com,,Consulate,Kolkata,,
"Ecuadorian Consulate in Mumbai, India",Ecuador,Ecuadorian,"Gayatri Plaza 301, 3rd floor, Turner Road, Bandra (West), Mumbai 400 050",(+91) 22 6679 5931 / 2 / 3,(+91) 22 4002 2106,cecumumbai@cancilleria.gob.ec,http://http://mumbai.consulado.gob.ec/,Consulate,Mumbai,,
Ecuadorian Embassy in India,Ecuador,Ecuadorian,"E 3/2 1st, 2nd & 3rd Floor, Vasant Vihar, New Delhi 110057",(+91) 11 2615 2264 / (+91) 11 2615 2265,,eecuindia@cancilleria.gob.ec,http://http://india.embajada.gob.ec/,Embassy,,,
"Egyptian Consulate in Mumbai, India",Egypt,Egyptian,"101. Benhur Apartments,32 Narayan Dabholkar Road, off Nepean Sea Road Mumbai - 400006",(+9122) 23676422 - 23676407,(+9122) 23634558,Consulate.mombai@mfa.gov.eg,http://http://www.mfa.gov.eg/english/embassies/Egyptian_Consulate_India/Pages/default.aspx,Consulate,Mumbai,,
"Egyptian Embassy in New Delhi, India",Egypt,Egyptian,"1 - 50m, Niti Marg, , Chanakyapuri, 110021 New Delhi",(+9111) 26114096,(+9111) 26885355,india_emb@mfa.gov.eg,http://http://www.mfa.gov.eg/english/embassies/Egyptian_Embassy_India/Pages/default.aspx,Embassy,New Delhi,Daily from 9:00 am till 5:00 pm except on Saturdays and Sundays,
"El Salvadoran Embassy in New Delhi, India",El Salvador,El Salvadorean,"F-48 on Munirka Marg corner with Poorvi Marg, Vasant Vihar, New Delhi - 110 057, India",(+91) 11-4608 8400,(+91) 11-4601 1688,"elsalvador-india@rree.gob.sv, esembassy@gmail.com",embajadaindia.rree.gob.sv,Embassy,New Delhi,09.00-13.00 and 14.00-17.00,"José Felix Ulloa Alvarenga, Chargé d'Affaires a.i."
"Emirati Consulate in Mumbai, India",United Arab Emirates,Emirati,"No.7 Jolly Maker, Apartment No. 1 - Cuffe Parade, Colaba Mumbai 400 005 India",(+91) 22 2218 0985,(+91) 22 2218 1162,mumbai@mofa.gov.ae,,Consulate,Mumbai,,
"Emirati Embassy in New Delhi, India",United Arab Emirates,Emirati,"12 Chandragupta Marg, Chanakyapuri, New Delhi, India",+91-11-26111111,+91-11-26873272,info.newdelhi@mofa.gov.ae,http://www.uaeembassy-newdelhi.com ,Embassy,New Delhi,,
"Estonian Consulate in Mumbai, India",Estonia,Estonian,"312 T.V. Industrial Estate , 248/A, S.K. Ahire Marge, Worli , Mumbai 400030",+91 22 2496 88 82/ 83 / 84/ 85,+91 22 2496 88 86,khush2002@vsnl.com,,Consulate,Mumbai,,
"Estonian Consulate in New Delhi, India",Estonia,Estonian,"F-402, 4th Floor, Plot No. D-1, Distt. Center, Ras Vilas , Saket, New Delhi 110 017",+91-11-47289900 (30 lines),"+91-11-47289936, 47289939","anika@del2.vsnl.net.in, anil.vig@anika.in",,Consulate,New Delhi,,
"Ethiopian Embassy in New Delhi, India",Ethiopia,Ethiopian,"7/50-G, Satya Marg, Chanakyapuri, New Delhi - 110 021, India",009111-6119513 or 6119514 or 24675366/67,009111-6875731,delethem@yahoo.com,,Embassy,New Delhi,09.00-13.00 and 14.00-17.30,
"Filipino Consulate in Chennai, India",Philippines,Filipino,"SPIC House, Annex Building, VIII Floor, 88 Mount Road, Guindy, Chennai 600032, India",(+91) (44) 2235 4063,(+91) (44) 2235 2062,,,Consulate,Chennai,,
"Filipino Consulate in Kolkata, India",Philippines,Filipino,"2nd Floor, 37 Shakespeare Sarani, Kolkata 700 001",(+91) (33) 2280 8353,(+91) (33) 2280 8354,,,Consulate,Kolkata,,
"Filipino Consulate in Mumbai, India",Philippines,Filipino,215 Nariman Point Mumbai 400021,(+91) (22) 2202 4792,(+91) (22) 2282 9539,,,Consulate,Mumbai,,
"Filipino Embassy in New Delhi, India",Philippines,Filipino,"50-N Nyaya Marg. Chanakyapuri, New Delhi 110021, India",(+91) 11 2410-1120 or 11 2688-9091 / 2688-8838,(+91) 11 2687-6401,newdelhi@bol.net.in,http://www.philembassynewdelhi.com ,Embassy,New Delhi,09.00-12.00 and 13.30-17.00,
"Finnish Consulate in Bangalore, India",Finland,Finnish,"Embassy Star, 7th Floor, No. 8, Palace Road, Vasanth Nagar, 560 052",080 4165 9828,,,,Consulate,Bangalore,,
"Finnish Consulate in Chennai, India",Finland,Finnish,"Honorary Consulate of Finland, 202 Anna Salai, 600 002",+91-(0)44-2852 4141,+91-(0)44-2852 1253,siva_holdings@vsnl.net,,Consulate,Chennai,,
"Finnish Consulate in Kolkata, India",Finland,Finnish,"Honorary Consulate of Finland, c/o Mahadev Paper Corporation, 7 A, A.J.C. Bose Road, 2nd floor, 700 017","(91-33) 2287 4328, 2290 1960",(91-33) 2287 4329,mpc@cal.vsnl.net.in,,Consulate,Kolkata,,
"Finnish Consulate in Mumbai, India",Finland,Finnish,"Honorary Consulate of Finland, C305 Dharam Palace, '100-103 N S Patkar Marg, 400 007",+91-22- 66390033,+91-22- 6639 0044,finconsmumbai@shrenuj.com,,Consulate,Mumbai,,
"Finnish Embassy in New Delhi, India",Finland,Finnish,"E-3, Nyaya Marg, Chanakyapuri, 110021",+91-11-4149 7500,+91-11-4149 7555,sanomat.nde@formin.fi,http://www.finland.org.in,Embassy,New Delhi,Customer Service: Mon-Fri 10.00-12.00,
"French Consulate in Bombay, India",France,French,"Hoechst House - 7th floor, 193 Backbay Reclamation, Nariman Point, Mumbai (Bombay) 400 021",[91] (22) 66 69 40 00,[91] (22) 66 69 40 66,mail@consulfrance-bombay.org,http://www.consulfrance-bombay.org,Consulate,Bombay,,
"French Consulate in Pondicherry, India",France,French,"2 rue de la Marine, Pondicherry 605 001",[91] (413) 223 10 00,[91] (413) 223 10 01,consul@consulfrance-pondichery.org,http://www.consulfrance-pondichery.org,Consulate,Pondicherry,,
"French Embassy in New Delhi, India",France,French,"2/50-E Shantipath Chanakyapuri, New Delhi 110 021",[91] (11) 2419 6100,[91] (11) 2419 6169,webmaster@france-in-india.org,http://www.france-in-india.org,Embassy,New Delhi,,
"Gambian Embassy in New Delhi, India",Gambia,Gambian,"B19 Vasant Marg, Vasant Vihar, New Delhi 110057, India",(+91) 11 4612 0472,(+91) 11 4612 0471,gamembdel@hotmail.com,,Embassy,New Delhi,,"Mr Dembo M. Badjie, Ambassador"
"Georgian Embassy in New Delhi, India",Georgia,Georgian,"115 Jorbagh, New Delhi 110003",+91 11 47 07 86 02; +91 11 49 49 60 00,+91 11 47 07 86 03,delhi.emb@mfa.gov.ge,http://www.india.mfa.gov.ge,Embassy,New Delhi,9.30-18.00,
"German Consulate in Chennai, India",Germany,German,"No. 9 Boat Club  Road, P.O.Box 3110, Chennai 600 028, India",(0091 44) 24 30 16 00,(0091 44) 24 34 92 93,info@germanconsulatechennai.org,http://www.chennai.diplo.de,Consulate,Chennai,Monday - Friday 08.00 to 11.30 hrs,
"German Consulate in Goa, India, India",Germany,German,"Cosme Matias Menezes Pvt. Ltd., Rua de Ourem, Panaji, 403 001, Goa",(0091 832) 223 55 26,(0091 832) 222 34 41,conhongoa@sancharnet.in,,Consulate,"Goa, India",,
"German Consulate in Kolkata, India",Germany,German,"1 Hastings Park Road, Alipore, P.O. Box 16711, Kolkata  700 027, India","+91-(0)33-2479 1141/ 1142/ 2150, 2439 8906, In case of emergencies: +91-(0) 98310 16091",+91-(0)33-2479 3028,gerconsu@vsnl.com,http://www.kalkutta.diplo.de,Consulate,Kolkata,,
"German Consulate in Mumbai, India",Germany,German,"'Hoechst House', 10th Floor, Nariman Point, 193 Backbay Reclamation, Mumbai 400 021, India",(+91-22) 22832422; In case of emergency: (0091)  9821016877,(+91-22) 22025493,info@mumbai.diplo.de,http://www.germanconsulatemumbai.org,Consulate,Mumbai,Monday - Friday: 9:00 a.m. to 12:00 noon,
"German Embassy in New Delhi, India",Germany,German,"No. 6/50G, Shanti Path, Chanakyapuri, 110021",(0091-11) 44199 199,(0091-11) 2687 31 17,info@new-delhi.diplo.de,http://www.new-delhi.diplo.de/Vertretung/newdelhi/en/02/Embassy.html,Embassy,New Delhi,"Mon - Thu: 8:00 - 17:00 Hrs.

Fri: 8:00 - 14:00 Hrs.",
"Ghanaian Consulate in Bombay, India",Ghana,Ghanaian,"6A, Kapur Mahal, 65, Marine Drive, 400 020",91 22 281 0938 / 91 22 281 9590,,,,Consulate,Bombay,,
"Greek Consulate in Chennai, India",Greece,Greek,"37 Sterling Road , Nungambakkam, Chennai 600034, India","(009144) 8203663, 8200042",(009144) 8200038,nkumar@indchem.com,http://nkumar@indchem.com,Consulate,Chennai,,
"Greek Consulate in Mumbai, India",Greece,Greek,"Baharestan, 30/A, Juhu Tara Road, Juhu, Mumbai 400 049, India",(009122) 6607852,(009122) 6606446,jertony@yahoo.com,,Consulate,Mumbai,,
"Greek Embassy in New Delhi, India",Greece,Greek,"Dr S. Radhakrishnan Marg, Chanakyapuri, New Delhi 110021",(009111) 26880700-4,(009111) 26888010,gremb.del@mfa.gr ,,Embassy,New Delhi,,
"Grenadian Consulate in New Delhi, India",Grenada,Grenadian,"12, Sundar Nagar. New Delhi, India",91 11 33 13 370,91 11 33 28 307,,,Consulate,New Delhi,,
"Guinean Embassy in New Delhi, India",Guinea,Guinean,"26 Poorvi Marg, Vasant Vihar, New Delhi 110057, India","(+91) 11 4654 0211, (+91) 11 4654 0213",(+91) 11 4654 4440,"ambaguineedelhi@gmail.com, ambaguidelhi@mae.gov.gn",www.ambaguinee-inde.org,Embassy,New Delhi,09.00-13.00 and 14.00-17.30,"Mr Alexandre Cece Loua, Ambassador"
"Honduran Embassy in New Delhi, India",Honduras,Honduran,"E-5/1, Vasant Vihar, New Delhi – 110057, India","+91-11-46088400,","+91-11-46011688,",embasalva-newdelhi@rree.gob.sv,,Embassy,New Delhi,,
